0	1	mikroCdsPIC.exe -MSF -DBG -pP24FJ256GB106 -DL -SSA -O11111114 -fo32 -N"C:\Users\omer\Desktop\PID deneme\main\PID_Deneme.mcpds" -SP"C:\Users\omer\Desktop\mikroC PRO for dsPIC\Defs\" -SP"C:\Users\omer\Desktop\mikroC PRO for dsPIC\Uses\" -SP"C:\Users\omer\Desktop\PID deneme\main\" -SP"C:\Users\omer\Desktop\PID deneme\libs\" -IP"C:\Users\omer\Desktop\PID deneme\libs\" "PID_Deneme.c" "_4X8_CS.c" "_MCU-PIC24.c" "UYGULAMA.c" "VOLTAGE_IO.c" "pid.c" "__Lib_Math.mcl" "__Lib_MathDouble.mcl" "__Lib_System.mcl" "__Lib_Delays.mcl" "__Lib_CType.mcl" "__Lib_CString.mcl" "__Lib_CStdlib.mcl" "__Lib_CMath.mcl" "__Lib_Setjmp.mcl" "__Lib_MemManager.mcl" "__Lib_Conversions.mcl" "__Lib_Sprintf.mcl" "__Lib_PrintOut.mcl" "__Lib_Sprinti.mcl" "__Lib_Sprintl.mcl" "__Lib_Time.mcl" "__Lib_Trigonometry.mcl" "__Lib_Button.mcl" "__Lib_Keypad4x4.mcl" "__Lib_Manchester.mcl" "__Lib_OneWire.mcl" "__Lib_PS2.mcl" "__Lib_Sound.mcl" "__Lib_SoftI2C.mcl" "__Lib_SoftSPI.mcl" "__Lib_SoftUART.mcl" "__Lib_ADC_1_p24FJ256_GA_GB_110.mcl" "__Lib_FLASH_p24_p33.mcl" "__Lib_I2C_123_p24fj.mcl" "__Lib_PWM_1_p24FJ256_GA_GB_110.mcl" "__Lib_SPI_123_p24fj.mcl" "__Lib_UART_1234_p24_p33.mcl" "__Lib_PPS_p24FJ256_GA_GB_110_DPC64B.mcl" "__Lib_USB.mcl" "__Lib_PortExpander.mcl" "__Lib_CANSPI.mcl" "__Lib_CF.mcl" "__Lib_CFFat16.mcl" "__Lib_GlcdFonts.mcl" "__Lib_Glcd.mcl" "__Lib_LcdConsts.mcl" "__Lib_Lcd.mcl" "__Lib_Mmc.mcl" "__Lib_MmcFat16.mcl" "__Lib_MmcFat16Constants.mcl" "__Lib_RS485.mcl" "__Lib_S1D13700.mcl" "__Lib_T6963C.mcl" "__Lib_SPIGlcd.mcl" "__Lib_SPILcd.mcl" "__Lib_SPILcd8.mcl" "__Lib_SPIT6963C.mcl" "__Lib_EthEnc28j60.mcl" "__Lib_EthEnc24j600.mcl" "__Lib_TFT.mcl" "__Lib_TFT_Defs.mcl" "__Lib_TouchPanel_TFT.mcl" "__Lib_TouchPanel.mcl"	 
diagnostics: 0	121	Loading...	 
diagnostics: 0	122	Compilation Started	P24FJ256GB106.c
diagnostics: 15288	123	Compiled Successfully	P24FJ256GB106.c
diagnostics: 0	122	Compilation Started	__Lib_Delays.c
diagnostics: 695	123	Compiled Successfully	__Lib_Delays.c
diagnostics: 0	122	Compilation Started	__Lib_MemManager.c
warning: 34	1508	Implicit conversion of int to ptr	__Lib_MemManager.c
warning: 155	1506	Implicit conversion of pointer to int	__Lib_MemManager.c
warning: 174	1508	Implicit conversion of int to ptr	__Lib_MemManager.c
diagnostics: 295	123	Compiled Successfully	__Lib_MemManager.c
diagnostics: 0	122	Compilation Started	__Lib_GlcdFonts.c
diagnostics: 1207	123	Compiled Successfully	__Lib_GlcdFonts.c
diagnostics: 0	122	Compilation Started	__lib_mmcfat16.h
diagnostics: 71	123	Compiled Successfully	__Lib_MmcFat16Constants.c
diagnostics: 0	122	Compilation Started	__Lib_TFT_Defs.c
diagnostics: 3090	123	Compiled Successfully	__Lib_TFT_Defs.c
diagnostics: 0	122	Compilation Started	_4x8_cs.h
diagnostics: 76	123	Compiled Successfully	PID_Deneme.c
diagnostics: 0	122	Compilation Started	_4x8_cs.h
diagnostics: 88	123	Compiled Successfully	_4X8_CS.c
diagnostics: 0	122	Compilation Started	_MCU-PIC24.c
diagnostics: 114	123	Compiled Successfully	_MCU-PIC24.c
diagnostics: 0	122	Compilation Started	uygulama.h
hint: 0	1004	interrupt handler (Timer1Interrupt at 0x001A)	UYGULAMA.c
hint: 0	1004	interrupt handler (timer2 at 0x0022)	UYGULAMA.c
diagnostics: 258	123	Compiled Successfully	UYGULAMA.c
diagnostics: 0	122	Compilation Started	voltage_io.h
warning: 166	1506	Implicit conversion of pointer to int	VOLTAGE_IO.c
warning: 193	1506	Implicit conversion of pointer to int	VOLTAGE_IO.c
diagnostics: 195	123	Compiled Successfully	VOLTAGE_IO.c
hint: 56	1164	Variable 'temp' has been eliminated by optimizer	VOLTAGE_IO.c
diagnostics: 0	122	Compilation Started	pid.h
diagnostics: 51	123	Compiled Successfully	pid.c
diagnostics: 0	127	All files Compiled in 719 ms	 
hint: 0	1144	Used RX (bytes): 32 (100%)   Free RX (bytes): 0 (0%)	Used RX (bytes): 32 (100%)   Free RX (bytes): 0 (0%)
hint: 0	1144	Static RAM (bytes): 80   Dynamic RAM (bytes): 16304	Static RAM (bytes): 80   Dynamic RAM (bytes): 16304
hint: 0	1144	Used ROM (bytes): 4618 (3%)  Free ROM (bytes): 170478 (97%)	Used ROM (bytes): 4618 (3%)  Free ROM (bytes): 170478 (97%)
diagnostics: 0	125	Project Linked Successfully	PID_Deneme.mcpds
diagnostics: 0	128	Linked in 859 ms	 
diagnostics: 0	129	Project 'PID_Deneme.mcpds' completed: 3187 ms	 
diagnostics: 0	103	Finished successfully: 16 Oct 2024, 11:42:00	PID_Deneme.mcpds
